-183.68	-4.32	18.77
177.65	-1.38	22.23
-183.68	4.32	18.77
177.65	1.38	22.23
-182.82	-5.68	60.75
178.1	-1.02	29.44
-182.82	5.68	60.75
178.1	1.02	29.44
-97.43	9.45	7.49
-49.92	11.43	4.78
-2.97	8.88	3.18
41.14	8.99	3.86
90.24	4.44	10.15
133.63	3.04	17.85
134.36	-3.42	17.69
90.24	-4.44	10.15
41.14	-8.99	3.86
-2.97	-8.88	3.18
-49.92	-11.43	4.78
-97.43	-9.44	7.49
-144.46	-6.9	65.89
-101.38	-8.48	69.61
-51.49	-9.37	67.79
-5.4	-8.25	63.36
39.82	-7.98	57.84
90.22	-5.05	50.97
134.29	-2.31	45.18
134.29	2.31	45.18
90.22	5.05	50.97
39.82	7.98	57.84
-5.4	8.25	63.36
-51.49	9.37	67.79
-101.38	8.48	69.61
-144.46	6.9	65.89
-173.83	5.2	13.32
-163.47	6.43	8.8
-175.34	-5.76	63.29
-161.24	-6.09	65.07
-163.47	-6.43	8.8
-173.83	-5.2	13.32
-161.24	6.09	65.07
-175.34	5.76	63.29
152.13	-2.9	20.43
152.11	2.45	39.81
151.12	3.05	20.56
152.11	-2.45	39.81
113.57	4.36	14.12
112.83	-4.3	13.67
111.7	-3.82	48.03
111.7	3.82	48.03
178.25	-2.26	23.27
178.13	-2.01	28
-188.14	-5.37	53.07
-190.53	-3.78	28.57
178.25	2.26	23.27
178.13	2.01	28
-190.53	3.78	28.57
-188.14	5.37	53.07
134.29	-7.52	20.55
133.77	-6.79	40.87
91.17	-12.49	14.7
90.35	-11.29	46.14
40.91	-19.76	9.89
39.82	-17.84	51.48
-4.02	-24.8	10.5
-5.2	-22.4	55.8
-144.27	-18.73	58.64
-143.25	-20.77	13.06
-101.15	-23.04	60.88
-99.99	-25.41	13.51
-51.27	-25.46	59.48
-50.4	-29.41	11.25
-143.25	20.77	13.06
-144.27	18.73	58.64
-99.99	25.41	13.51
-101.15	23.04	60.88
-50.4	29.41	11.25
-51.27	25.46	59.48
-4.02	24.8	10.5
-5.2	22.4	55.8
133.77	6.79	40.87
90.35	11.29	46.14
91.17	12.49	14.7
39.82	17.84	51.48
40.91	19.76	9.89
-175.3	-13.42	57.61
-174.03	-13.6	18.71
-160.43	-17.05	14.09
-161.06	-16.2	58.16
-174.03	13.6	18.71
-175.3	13.42	57.61
-161.06	16.2	58.16
-160.43	17.05	14.09
152.19	-6.14	22.73
151.86	-5.53	36.52
151.86	5.53	36.52
154.67	5.51	22.97
112.65	-9.45	17.31
111.96	-8.53	43.72
111.96	8.53	43.72
109.97	9.49	17.36
181.1	-3.72	24.68
181.07	-3.69	25.89
181.1	3.72	24.68
181.07	3.69	25.89
152.57	-9.66	27.71
152.47	-9.57	31.38
152.47	9.57	31.38
151.89	9.57	27.5
187.11	-12.95	24.99
187.1	-12.95	25.49
187.41	-59.61	26.68
187.42	-59.61	26.03
187.1	12.95	25.49
187.11	12.95	24.99
187.42	59.61	26.03
187.41	59.61	26.68
-189.34	-5.06	46.24
-190.55	-4.11	36.11
-190.55	4.11	36.11
-189.34	5.06	46.24
134.12	-8.9	27.04
133.93	-8.74	34.11
90.92	-14.78	24.34
90.58	-14.52	37.2
40.59	-23.37	22.09
40.15	-22.97	39.11
-4.36	-29.33	23.7
-4.83	-28.83	41.47
-143.89	-24.1	44.17
-143.39	-24.49	24.67
-99.69	-30.1	42.96
-99.21	-30.46	24.69
-50.86	-32.76	43.63
-50.75	-33.81	26.18
-143.39	24.49	24.67
-143.89	24.1	44.17
-99.21	30.46	24.69
-99.69	30.1	42.96
-50.75	33.81	26.18
-50.86	32.76	43.63
-4.36	29.33	23.7
-4.83	28.83	41.47
133.93	8.74	34.11
133.37	8.72	27.88
90.58	14.52	37.2
90.92	14.78	24.34
40.15	22.97	39.11
40.59	23.37	22.09
-175.17	-16.24	45.66
-174.77	-16.21	28.99
-160.2	-20.87	25.92
-160.71	-20.69	44.81
-174.77	16.21	28.99
-175.17	16.24	45.66
